id,equipo_local,equipo_visistante,finalizado
1,29,2,0
2,31,19,0
3,25,24,0
4,11,6,0
5,4,5,0
6,16,30,0
7,17,13,0
8,8,32,0
9,7,10,0
10,27,26,0
11,9,21,0
12,18,14,0
13,3,22,0
14,15,20,0
15,28,1,0
16,12,23,0
17,1,7,0
18,26,12,0
19,21,18,0
20,14,9,0
21,22,15,0
22,20,3,0
23,10,28,0
24,23,27,0
25,2,31,0
26,32,17,0
27,5,11,0
28,6,4,0
29,19,29,0
30,30,25,0
31,24,16,0
32,13,8,0
33,9,18,0
34,7,28,0
35,21,14,0
36,22,20,0
37,3,15,0
38,1,10,0
39,12,27,0
40,26,23,0
41,4,11,0
42,24,30,0
43,6,5,0
44,31,29,0
45,19,2,0
46,16,25,0
47,8,17,0
48,32,13,0
49,30,24,0
50,17,8,0
51,11,4,0
52,5,6,0
53,29,31,0
54,2,19,0
55,25,16,0
56,13,32,0
57,20,22,0
58,23,26,0
59,18,9,0
60,14,21,0
61,15,3,0
62,28,7,0
63,10,1,0
64,27,12,0
65,11,5,0
66,29,19,0
67,4,6,0
68,31,2,0
69,16,24,0
70,25,30,0
71,17,32,0
72,8,13,0
73,7,1,0
74,12,26,0
75,9,14,0
76,18,21,0
77,3,20,0
78,15,22,0
79,28,10,0
80,27,23,0
81,21,9,0
82,14,18,0
83,20,15,0
84,22,3,0
85,10,7,0
86,1,28,0
87,23,12,0
88,26,27,0
89,13,17,0
90,32,8,0
91,6,11,0
92,5,4,0
93,19,31,0
94,2,29,0
95,24,25,0
96,30,16,0
97,29,2,0
